"Tool Index (tool_index)","Preset Name (preset_name)","Type (tool_type)","Description (tool_description)","Diameter (tool_diameter)","Number (tool_number)","Unit (tool_unit)","Holder Description (holder_description)","Holder Product ID (holder_productId)","Holder Product Link (holder_productLink)","Holder Vendor (holder_vendor)","Abrasive Flow Rate (tool_abrasiveFlowRate)","Orientation (tool_angle)","Tool Assembly Gauge Length (tool_assemblyGaugeLength)","Assist Gas (tool_assistGas)","Axial Distance (tool_axialDistance)","Bead Width (tool_beadWidth)","Body Length (tool_bodyLength)","Break Control (tool_breakControl)","Chamfer Angle (tool_chamferAngle)","Chamfer Width (tool_chamferWidth)","Clamping (tool_clamping)","Clockwise Spindle Rotation (tool_clockwise)","Comment (tool_comment)","Compensation (tool_compensation)","Compensation Offset (tool_compensationOffset)","Coolant (tool_coolant)","Coolant Support (tool_coolantSupport)","Corner Radius (tool_cornerRadius)","Cross Section (tool_crossSection)","Cut Height (tool_cutHeight)","Cut Power (tool_cutPower)","Cutting Width (tool_cuttingWidth)","Auxiliary Gas Flow Rate (tool_depositingAuxiliaryGasFlowRate)","Carrier Gas Flow Rate (tool_depositingCarrierGasFlowRate)","Current (tool_depositingCurrent)","Power (tool_depositingPower)","Shield Gas Flow Rate (tool_depositingShieldGasFlowRate)","Voltage (tool_depositingVoltage)","Depth of Cut (tool_depthOfCut)","Diameter Offset (tool_diameterOffset)","End Angle (tool_endAngle)","End Cutting (tool_endCutting)","Cutting Feedrate (tool_feedCutting)","Cutting Feed per Revolution (tool_feedCuttingRel)","Depositing Feedrate (tool_feedDepositing)","Lead-In Feedrate (tool_feedEntry)","Lead-In Feed per Revolution (tool_feedEntryRel)","Lead-Out Feedrate (tool_feedExit)","Lead-Out Feed per Revolution (tool_feedExitRel)","Plunge Feed per Revolution (tool_feedPerRevolution)","Feed per Tooth (tool_feedPerTooth)","Plunge Feedrate (tool_feedPlunge)","Link Feedrate (tool_feedProbeLink)","Measure Feedrate (tool_feedProbeMeasure)","Ramp Feedrate (tool_feedRamp)","Retract Feedrate (tool_feedRetract)","Retract Feed per Revolution (tool_feedRetractPerRevolution)","Transition Feedrate (tool_feedTransition)","Wire Feedrate (tool_feedWire)","Flute Length (tool_fluteLength)","Use Opposite Edge (tool_grooveCompOppositeEdge)","Groove Width (tool_grooveWidth)","Hand (tool_hand)","Head Clearance (tool_headClearance)","Head Length (tool_headLength)","Tool Holder Gauge Length (tool_holderGaugeLength)","Head Length (tool_holderHeadLength)","Overall Length (tool_holderOverallLength)","Style (tool_holderType)","Angle (tool_insertAngle)","Insert size (tool_insertSize)","Size specified by (tool_insertSizeSpecificationMode)","Shape (tool_insertType)","Width (tool_insertWidth)","Internal Thread (tool_internalThread)","Kerf Width (tool_kerfWidth)","Layer Thickness (tool_layerThickness)","Leading Angle (tool_leadingAngle)","Trailing edge length (tool_lengthNonCuttingEdge)","Length Offset (tool_lengthOffset)","Live Tool (tool_live)","Lower Radius (tool_lowerRadius)","Quality Control (tool_machineQualityControl)","Manual Tool Change (tool_manualToolChange)","Material (tool_material)","Maximum Diameter (tool_maximumCuttingDiameter)","Maximum Thread Pitch (tool_maximumThreadPitch)","Minimum Thread Pitch (tool_minimumThreadPitch)","Nozzle Diameter (tool_nozzleDiameter)","Number of Flutes (tool_numberOfFlutes)","Number of Teeth (tool_numberOfTeeth)","Overall Length (tool_overallLength)","Pierce Height (tool_pierceHeight)","Pierce Power (tool_piercePower)","Pierce Time (tool_pierceTime)","Powder Flow Rate (tool_powderFlowRate)","Filter by Type (tool_presetMaterialCategory)","Maximum hardness (tool_presetMaterialMaximumHardness)","Minimum hardness (tool_presetMaterialMinimumHardness)","Filter by Search (tool_presetMaterialQuery)","Filter by hardness (tool_presetMaterialUseHardness)","Preset Program Number (tool_presetProgram)","Pressure (tool_pressure)","Product ID (tool_productId)","Product Link (tool_productLink)","Profile Radius (tool_profileRadius)","Ramp Angle (tool_rampAngle)","Ramp Spindle Speed (tool_rampSpindleSpeed)","Relief Angle (tool_reliefAngle)","Round Shank (tool_roundShank)","Flip (tool_shaftAxisAngle)","Shaft Diameter (tool_shaftDiameter)","Shank Height (tool_shankHeight)","Shank Width (tool_shankWidth)","Shoulder Diameter (tool_shoulderDiameter)","Shoulder Length (tool_shoulderLength)","Side Angle (tool_sideAngle)","Side Cutting (tool_sideCutting)","Spindle Speed (tool_spindleSpeed)","Stand-off Distance (tool_standoffDistance)","Stepdown (tool_stepdown)","Stepover (tool_stepover)","Surface Speed (tool_surfaceSpeed)","Taper Angle (tool_taperAngle)","Tapered Type (tool_taperedType)","Thickness (tool_thickness)","Thread Pitch (tool_threadPitch)","Thread Profile Angle (tool_threadProfileAngle)","Thread Tip Radius (tool_threadTipRadius)","Thread Tip Type (tool_threadTipType)","Thread Tip Width (tool_threadTipWidth)","Tip Angle (tool_tipAngle)","Tip Diameter (tool_tipDiameter)","Tip Length (tool_tipLength)","Tip Offset (tool_tipOffset)","Tolerance (tool_tolerance)","Trailing Angle (tool_trailingAngle)","Turret (tool_turret)","Upper Radius (tool_upperRadius)","Use Constant Surface Speed (tool_useConstantSurfaceSpeed)","Use Feed per Revolution (tool_useFeedPerRevolution)","Vendor (tool_vendor)","Use Depth of Cut (use_tool_depthOfCut)","Use Preset Program Number (use_tool_presetProgram)","Use Stepdown (use_tool_stepdown)","Use Stepover (use_tool_stepover)","Shaft Segments (shaft_segments)","Holder Segments (holder_segments)","Tool Library Version (tool_library_version)","CSV_TOOLS_VERSION_1"
1,"Plastic","thread mill","Carvera M1 Threadmill",0.73,6,"millimeters","Carvera ToolHolder","","","Makera","","",28.51,"","","",28,false,"","","",true,"","",6,"disabled","no","","","","","","","","","","","","",6,"","",100,"","",100,"",100,"",0.01,0.00333333,100,"","",333.333,"","",100,"",2,"","","","","",0.51,"","","","","","","","","","","","","",6,true,"","",false,"carbide","","","","",3,1,38,"","","","","all","","","",false,"","","","https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860538081","",2,10000,"","","",6.5,"","",0.296987,3,"","",10000,"",0.25,0.219,22.9336,"","","",0.25,60,"","","","","","","","","",0,"","","","","","",true,true,"H4.000000 U3.175000 L0.730000; H14.500000 U3.175000 L3.175000; H6.500000 U6.500000 L6.500000","H0.500000 U10.000000 L9.000000; H0.010000 U16.600000 L16.600000",33
1,"Hardwood","thread mill","Carvera M1 Threadmill",0.73,6,"millimeters","Carvera ToolHolder","","","Makera","","",28.51,"","","",28,false,"","","",true,"","",6,"disabled","no","","","","","","","","","","","","",6,"","",100,"","",100,"",100,"",0.00833333,0.00277778,100,"","",333.333,"","",100,"",2,"","","","","",0.51,"","","","","","","","","","","","","",6,true,"","",false,"carbide","","","","",3,1,38,"","","","","all","","","",false,"","","","https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860538081","",2,12000,"","","",6.5,"","",0.296987,3,"","",12000,"",0.25,0.219,27.5204,"","","",0.25,60,"","","","","","","","","",0,"","","","","","",true,true,"H4.000000 U3.175000 L0.730000; H14.500000 U3.175000 L3.175000; H6.500000 U6.500000 L6.500000","H0.500000 U10.000000 L9.000000; H0.010000 U16.600000 L16.600000",33
1,"Softwood","thread mill","Carvera M1 Threadmill",0.73,6,"millimeters","Carvera ToolHolder","","","Makera","","",28.51,"","","",28,false,"","","",true,"","",6,"disabled","no","","","","","","","","","","","","",6,"","",100,"","",100,"",100,"",0.00833333,0.00277778,100,"","",333.333,"","",100,"",2,"","","","","",0.51,"","","","","","","","","","","","","",6,true,"","",false,"carbide","","","","",3,1,38,"","","","","all","","","",false,"","","","https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860538081","",2,12000,"","","",6.5,"","",0.296987,3,"","",12000,"",0.25,0.219,27.5204,"","","",0.25,60,"","","","","","","","","",0,"","","","","","",true,true,"H4.000000 U3.175000 L0.730000; H14.500000 U3.175000 L3.175000; H6.500000 U6.500000 L6.500000","H0.500000 U10.000000 L9.000000; H0.010000 U16.600000 L16.600000",33
1,"Aluminum","thread mill","Carvera M1 Threadmill",0.73,6,"millimeters","Carvera ToolHolder","","","Makera","","",28.51,"","","",28,false,"","","",true,"","",6,"disabled","no","","","","","","","","","","","","",6,"","",50,"","",50,"",50,"",0.00333333,0.00111111,50,"","",333.333,"","",50,"",2,"","","","","",0.51,"","","","","","","","","","","","","",6,true,"","",false,"carbide","","","","",3,1,38,"","","","","all","","","",false,"","","","https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860538081","",2,15000,"","","",6.5,"","",0.296987,3,"","",15000,"",0.25,0.146,34.4004,"","","",0.25,60,"","","","","","","","","",0,"","","","","","",true,true,"H4.000000 U3.175000 L0.730000; H14.500000 U3.175000 L3.175000; H6.500000 U6.500000 L6.500000","H0.500000 U10.000000 L9.000000; H0.010000 U16.600000 L16.600000",33
1,"Copper","thread mill","Carvera M1 Threadmill",0.73,6,"millimeters","Carvera ToolHolder","","","Makera","","",28.51,"","","",28,false,"","","",true,"","",6,"disabled","no","","","","","","","","","","","","",6,"","",50,"","",50,"",50,"",0.00333333,0.00111111,50,"","",333.333,"","",50,"",2,"","","","","",0.51,"","","","","","","","","","","","","",6,true,"","",false,"carbide","","","","",3,1,38,"","","","","all","","","",false,"","","","https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860538081","",2,15000,"","","",6.5,"","",0.296987,3,"","",15000,"",0.25,0.146,34.4004,"","","",0.25,60,"","","","","","","","","",0,"","","","","","",true,true,"H4.000000 U3.175000 L0.730000; H14.500000 U3.175000 L3.175000; H6.500000 U6.500000 L6.500000","H0.500000 U10.000000 L9.000000; H0.010000 U16.600000 L16.600000",33
1,"Brass","thread mill","Carvera M1 Threadmill",0.73,6,"millimeters","Carvera ToolHolder","","","Makera","","",28.51,"","","",28,false,"","","",true,"","",6,"disabled","no","","","","","","","","","","","","",6,"","",50,"","",50,"",50,"",0.00333333,0.00111111,50,"","",333.333,"","",50,"",2,"","","","","",0.51,"","","","","","","","","","","","","",6,true,"","",false,"carbide","","","","",3,1,38,"","","","","all","","","",false,"","","","https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860538081","",2,15000,"","","",6.5,"","",0.296987,3,"","",15000,"",0.25,0.146,34.4004,"","","",0.25,60,"","","","","","","","","",0,"","","","","","",true,true,"H4.000000 U3.175000 L0.730000; H14.500000 U3.175000 L3.175000; H6.500000 U6.500000 L6.500000","H0.500000 U10.000000 L9.000000; H0.010000 U16.600000 L16.600000",33
2,"Plastic","thread mill","Carvera M2 Threadmill",1.54,6,"millimeters","Carvera ToolHolder","","","Makera","","",28.51,"","","",28,false,"","","",true,"","",6,"disabled","no","","","","","","","","","","","","",6,"","",300,"","",300,"",300,"",0.03,0.01,300,"","",333.333,"","",300,"",2,"","","","","",0.51,"","","","","","","","","","","","","",6,true,"","",false,"carbide","","","","",3,1,38,"","","","","all","","","",false,"","","","https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860570849","",2,10000,"","","",6.5,"","",0.84718,6,"","",10000,"",0.4,0.462,48.3805,"","","",0.4,60,"","","","","","","","","",0,"","","","","","",true,true,"H4.000000 U3.175000 L1.000000; H11.500000 U3.175000 L3.175000; H6.500000 U6.500000 L6.500000","H0.500000 U10.000000 L9.000000; H0.010000 U16.600000 L16.600000",33
2,"Hardwood","thread mill","Carvera M2 Threadmill",1.54,6,"millimeters","Carvera ToolHolder","","","Makera","","",28.51,"","","",28,false,"","","",true,"","",6,"disabled","no","","","","","","","","","","","","",6,"","",300,"","",300,"",300,"",0.025,0.00833333,300,"","",333.333,"","",300,"",2,"","","","","",0.51,"","","","","","","","","","","","","",6,true,"","",false,"carbide","","","","",3,1,38,"","","","","all","","","",false,"","","","https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860570849","",2,12000,"","","",6.5,"","",0.84718,6,"","",12000,"",0.4,0.462,58.0566,"","","",0.4,60,"","","","","","","","","",0,"","","","","","",true,true,"H4.000000 U3.175000 L1.000000; H11.500000 U3.175000 L3.175000; H6.500000 U6.500000 L6.500000","H0.500000 U10.000000 L9.000000; H0.010000 U16.600000 L16.600000",33
2,"Softwood","thread mill","Carvera M2 Threadmill",1.54,6,"millimeters","Carvera ToolHolder","","","Makera","","",28.51,"","","",28,false,"","","",true,"","",6,"disabled","no","","","","","","","","","","","","",6,"","",300,"","",300,"",300,"",0.025,0.00833333,300,"","",333.333,"","",300,"",2,"","","","","",0.51,"","","","","","","","","","","","","",6,true,"","",false,"carbide","","","","",3,1,38,"","","","","all","","","",false,"","","","https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860570849","",2,12000,"","","",6.5,"","",0.84718,6,"","",12000,"",0.4,0.462,58.0566,"","","",0.4,60,"","","","","","","","","",0,"","","","","","",true,true,"H4.000000 U3.175000 L1.000000; H11.500000 U3.175000 L3.175000; H6.500000 U6.500000 L6.500000","H0.500000 U10.000000 L9.000000; H0.010000 U16.600000 L16.600000",33
2,"Aluminum","thread mill","Carvera M2 Threadmill",1.54,6,"millimeters","Carvera ToolHolder","","","Makera","","",28.51,"","","",28,false,"","","",true,"","",6,"disabled","no","","","","","","","","","","","","",6,"","",100,"","",100,"",100,"",0.00666667,0.00222222,100,"","",333.333,"","",100,"",2,"","","","","",0.51,"","","","","","","","","","","","","",6,true,"","",false,"carbide","","","","",3,1,38,"","","","","all","","","",false,"","","","https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860570849","",2,15000,"","","",6.5,"","",0.84718,6,"","",15000,"",0.4,0.308,72.5708,"","","",0.4,60,"","","","","","","","","",0,"","","","","","",true,true,"H4.000000 U3.175000 L1.000000; H11.500000 U3.175000 L3.175000; H6.500000 U6.500000 L6.500000","H0.500000 U10.000000 L9.000000; H0.010000 U16.600000 L16.600000",33
2,"Copper","thread mill","Carvera M2 Threadmill",1.54,6,"millimeters","Carvera ToolHolder","","","Makera","","",28.51,"","","",28,false,"","","",true,"","",6,"disabled","no","","","","","","","","","","","","",6,"","",100,"","",100,"",100,"",0.00666667,0.00222222,100,"","",333.333,"","",100,"",2,"","","","","",0.51,"","","","","","","","","","","","","",6,true,"","",false,"carbide","","","","",3,1,38,"","","","","all","","","",false,"","","","https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860570849","",2,15000,"","","",6.5,"","",0.84718,6,"","",15000,"",0.4,0.308,72.5708,"","","",0.4,60,"","","","","","","","","",0,"","","","","","",true,true,"H4.000000 U3.175000 L1.000000; H11.500000 U3.175000 L3.175000; H6.500000 U6.500000 L6.500000","H0.500000 U10.000000 L9.000000; H0.010000 U16.600000 L16.600000",33
2,"Brass","thread mill","Carvera M2 Threadmill",1.54,6,"millimeters","Carvera ToolHolder","","","Makera","","",28.51,"","","",28,false,"","","",true,"","",6,"disabled","no","","","","","","","","","","","","",6,"","",100,"","",100,"",100,"",0.00666667,0.00222222,100,"","",333.333,"","",100,"",2,"","","","","",0.51,"","","","","","","","","","","","","",6,true,"","",false,"carbide","","","","",3,1,38,"","","","","all","","","",false,"","","","https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860570849","",2,15000,"","","",6.5,"","",0.84718,6,"","",15000,"",0.4,0.308,72.5708,"","","",0.4,60,"","","","","","","","","",0,"","","","","","",true,true,"H4.000000 U3.175000 L1.000000; H11.500000 U3.175000 L3.175000; H6.500000 U6.500000 L6.500000","H0.500000 U10.000000 L9.000000; H0.010000 U16.600000 L16.600000",33
3,"Plastic","thread mill","Carvera M2.5 Threadmill",1.96,6,"millimeters","Carvera ToolHolder","","","Makera","","",28.51,"","","",28,false,"","","",true,"","",6,"disabled","no","","","","","","","","","","","","",6,"","",300,"","",300,"",300,"",0.03,0.01,300,"","",333.333,"","",300,"",2,"","","","","",0.51,"","","","","","","","","","","","","",6,true,"","",false,"carbide","","","","",3,1,38,"","","","","all","","","",false,"","","","https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860603617","",2,10000,"","","",6.5,"","",1.18058,7.5,"","",10000,"",0.45,0.588,61.5752,"","","",0.45,60,"","","","","","","","","",0,"","","","","","",true,true,"H4.000000 U3.175000 L1.200000; H10.000000 U3.175000 L3.175000; H6.500000 U6.500000 L6.500000","H0.500000 U10.000000 L9.000000; H0.010000 U16.600000 L16.600000",33
3,"Hardwood","thread mill","Carvera M2.5 Threadmill",1.96,6,"millimeters","Carvera ToolHolder","","","Makera","","",28.51,"","","",28,false,"","","",true,"","",6,"disabled","no","","","","","","","","","","","","",6,"","",300,"","",300,"",300,"",0.025,0.00833333,300,"","",333.333,"","",300,"",2,"","","","","",0.51,"","","","","","","","","","","","","",6,true,"","",false,"carbide","","","","",3,1,38,"","","","","all","","","",false,"","","","https://www.makera.com/products/thread-milling-bit-1-8-shank?variant=43974860603617","",2,12000,"","","",6.5,"","",1.18058,7.5,"","",12000,"",0.45,0.588,73.8903,"","","",0.45,60,"","","","","","","","","",0,"","","","","","",true,true,"H4.000000 U3.175000 L1.200000; H10.000000 U3.175000 L3.175000; H6.500000 U6.500000 L6.500000","H0.500000 U10.000000 L9.000000; H0.010000 U16.600000 L16.600000",33
